# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "6" "-a" "Mus_musculus.GRCm39.112.chrs_17-19.gtf" "-o" "GC1.featureCounts.txt" "GC1.bam" 
Geneid	Chr	Start	End	Strand	Length	GC1.bam
ENSMUSG00000115330	17	3396986	3397342	-	357	0
ENSMUSG00000036983	17;17;17;17;17;17;17;17;17;17;17;17;17;17	3569531;3571920;3586353;3593372;3595858;3595902;3600535;3603771;3605207;3605207;3605207;3607822;3607856;3607856	3570070;3572047;3586472;3593523;3595966;3595966;3602613;3603864;3605358;3605358;3605358;3608009;3608029;3608056	-;-;-;-;-;-;-;-;-;-;-;-;-;-	3609	70
ENSMUSG00000023802	17;17;17;17;17;17;17;17;17;17;17;17;17	3685515;3696751;3700257;3716096;3720039;3722023;3729986;3733182;3736139;3744204;3745538;3745763;3746429	3685666;3696875;3700403;3716258;3720292;3722115;3730115;3733363;3736284;3744288;3745648;3745858;3746536	-;-;-;-;-;-;-;-;-;-;-;-;-	1792	0
ENSMUSG00000116975	17;17;17;17	4094933;4121962;4123569;4132105	4095235;4122049;4123745;4133270	-;-;-;-	1734	0
ENSMUSG00000116615	17;17;17;17;17	4169721;4170492;4170664;4172351;4172351	4170204;4170883;4170883;4172388;4172377	-;-;-;-;-	914	0
ENSMUSG00000116767	17;17;17	4685253;4686120;4687013	4685392;4686216;4687746	+;+;+	971	0
ENSMUSG00000118855	17	4728295	4728401	+	107	0
ENSMUSG00000116649	17	4842921	4843234	-	314	0
ENSMUSG00000116813	17;17;17;17;17	4901973;4902288;4904039;4935115;4943136	4902741;4902741;4904757;4935361;4943262	-;-;-;-;-	1862	0
ENSMUSG00000116620	17	4930901	4931390	+	490	161
ENSMUSG00000116551	17;17	4995427;4996881	4995871;4997089	-;-	654	3
ENSMUSG00000069729	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	5044607;5045214;5045214;5045349;5046696;5046704;5090853;5090855;5090855;5090855;5090855;5090855;5090860;5147849;5147849;5147849;5147849;5147849;5147849;5147849;5177189;5177189;5177189;5177189;5177189;5293103;5293103;5293103;5293103;5314307;5314307;5314307;5329478;5329478;5329478;5329478;5341231;5341231;5341231;5341231;5356024;5356024;5356024;5356024;5362110;5362110;5362110;5362110;5364149;5364149;5364149;5368916;5368916;5368916;5368916;5371548;5371548;5371548;5371548;5377551;5377551;5377551;5377551;5377924;5377924;5377924;5377924;5382762;5382762;5382762;5382762;5385239;5385239;5385239;5385239;5386800;5386800;5386800;5386800;5389491;5389491;5389491;5389491;5391638;5391638;5391638;5391638	5044674;5046767;5046767;5046767;5046767;5046767;5091049;5091049;5091049;5091049;5091049;5091049;5091049;5148461;5148007;5148007;5148007;5148007;5148008;5148007;5177915;5177299;5177299;5177299;5177299;5293346;5293346;5293346;5293346;5314396;5314396;5314396;5329657;5329657;5329657;5329657;5341558;5341558;5341558;5341558;5356169;5356169;5356169;5356169;5362219;5362219;5362219;5362219;5364307;5364307;5364307;5369125;5369125;5369125;5369125;5371752;5371752;5371752;5371752;5377689;5377689;5377689;5377689;5378096;5378096;5378096;5378096;5382912;5382912;5382912;5382912;5385335;5385335;5385335;5385335;5387583;5387583;5387583;5387583;5389621;5389621;5389621;5389621;5397931;5397931;5393780;5393780	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	12600	361
ENSMUSG00000081783	17	5161041	5162385	-	1345	85
ENSMUSG00000101133	17;17;17;17;17;17	5439038;5439466;5454396;5462680;5467584;5467584	5439219;5439604;5454579;5462772;5467671;5469927	+;+;+;+;+;+	2942	4
ENSMUSG00000004945	17;17;17;17;17;17;17;17;17;17;17	5461145;5482570;5483300;5483717;5483717;5489807;5489807;5489807;5490408;5490408;5490408	5461742;5483025;5483854;5483854;5483854;5489907;5489907;5489907;5490534;5490531;5490518	-;-;-;-;-;-;-;-;-;-;-	1837	276
ENSMUSG00000101959	17	5467598	5469042	-	1445	0
ENSMUSG00002075241	17	5471739	5471840	+	102	0
ENSMUSG00000116691	17;17;17	5531398;5531587;5531828	5531526;5531748;5533239	-;-;-	1703	10
ENSMUSG00000034265	17;17;17;17;17;17;17;17;17	5542832;5698178;5735930;5762663;5765244;5775502;5777100;5781747;5802967	5543966;5698338;5736088;5762800;5765292;5775604;5777209;5781849;5804086	+;+;+;+;+;+;+;+;+	3078	32
ENSMUSG00000068120	17	5866475	5866915	-	441	795
ENSMUSG00000097186	17	5867747	5868230	+	484	0
ENSMUSG00000096962	17	5888243	5888540	+	298	0
ENSMUSG00000002365	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	5891604;5891627;5920943;5937272;5937272;5940350;5940350;5942049;5949602;5952639;5955164;5958629;5958857;5968655;5970346;5970845;5972405;5974880;5976347;5977481;5978480;5980845	5891821;5891821;5921228;5937358;5937358;5940405;5940424;5942174;5949770;5952789;5955248;5958754;5958974;5968785;5970449;5970948;5972482;5974956;5976436;5977595;5978571;5982229	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3617	758
ENSMUSG00000116734	17	5989362	5990004	+	643	0
ENSMUSG00000024044	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	69382678;69382747;69433995;69463739;69463773;69463805;69463805;69463840;69463853;69514854;69514854;69514854;69514854;69514854;69514854;69514854;69514865;69514865;69514877;69514881;69515066;69517181;69517181;69517181;69517181;69517181;69517181;69517181;69517181;69517181;69517181;69517181;69517181;69545340;69545340;69545340;69545340;69545340;69545340;69545340;69545340;69545340;69545340;69545340;69545340;69546742;69546742;69546742;69546742;69546742;69546742;69546742;69546742;69546742;69550583;69550583;69550583;69550583;69550583;69550583;69550583;69550583;69550583;69550631;69550648;69554531;69554531;69554531;69554531;69554531;69554531;69554531;69554531;69554531;69554531;69554531;69555625;69555625;69555625;69555625;69555625;69555625;69555625;69555625;69555625;69555625;69555627;69555666;69560391;69560391;69560391;69560391;69560391;69560391;69560391;69560391;69560391;69560391;69560391;69560391;69560391;69564366;69564366;69564366;69564366;69564366;69564366;69564366;69564366;69564366;69564366;69564366;69564366;69566008;69566008;69566008;69566008;69566008;69566008;69566008;69566008;69566008;69566008;69566008;69566008;69569121;69569121;69569121;69569121;69569121;69569121;69569121;69569121;69569121;69569175;69569175;69569175;69569184;69569258;69569320;69572900;69577606;69577606;69577606;69577606;69577606;69577606;69577606;69577606;69577606;69577606;69577606;69577606;69577606;69580877;69580877;69580877;69580877;69580877;69581096;69581699;69581699;69581699;69581699;69581699;69581699;69581699;69581699;69581699;69581699;69581699;69581699;69581771;69588028;69588028;69588028;69588028;69588709;69589556;69590880;69590880;69590880;69590880;69590880;69590880;69590880;69591534;69591534;69591534;69591534;69591534;69591534;69591534;69591534;69591534;69591534;69591534;69591534;69591534;69591534;69592897;69592897;69592897;69592897;69592897;69592897;69592897;69592897;69592897;69592897;69592897;69592897;69592897;69593708;69593708;69593708;69593708;69593708;69593708;69593708;69593708;69593708;69593708;69593708;69593708;69594252;69594252;69594252;69594252;69594252;69594252;69594252;69594252;69594252;69594252;69594252;69594252;69594607;69594607;69594607;69594607;69594607;69594607;69594607;69594607;69594607;69595846;69595846;69595846;69595846;69595846;69595846;69595846;69595846;69595846	69382927;69382990;69434740;69463905;69463905;69463905;69463905;69463905;69463905;69515071;69515071;69515071;69515071;69515071;69515071;69515071;69515071;69515071;69515071;69515071;69515071;69517378;69517378;69517378;69517378;69517378;69517378;69517378;69517378;69517378;69517378;69517378;69517378;69545444;69545444;69545444;69545444;69545444;69545444;69545444;69545444;69545444;69545372;69545444;69545444;69546784;69546784;69546784;69546784;69546784;69546784;69546784;69546784;69546784;69550658;69550658;69550658;69550658;69550658;69550658;69550658;69550658;69550658;69550658;69550658;69554749;69554749;69554749;69554749;69554749;69554749;69554749;69554749;69554749;69554749;69554749;69555712;69555712;69555712;69555712;69555712;69555712;69555712;69555712;69555712;69555712;69555712;69555712;69560543;69560719;69560543;69560543;69560543;69560543;69560543;69560543;69560543;69560543;69560543;69560543;69560543;69564463;69564463;69564463;69564463;69564463;69564463;69564463;69564463;69564463;69564463;69564463;69564463;69566183;69566183;69566183;69566183;69566183;69566183;69566183;69566183;69566183;69566183;69566183;69566183;69569341;69569341;69569341;69569341;69569341;69569341;69569341;69569341;69569341;69569341;69569341;69569341;69569341;69572476;69569341;69573427;69577659;69577659;69577659;69577659;69577659;69577659;69577659;69577659;69577659;69577659;69579843;69577659;69577659;69580912;69580912;69580912;69580912;69580912;69581161;69581890;69581890;69581890;69581890;69581890;69581890;69581890;69581890;69581890;69581890;69581890;69581890;69581890;69588230;69588102;69588102;69588102;69589909;69590275;69591002;69591002;69591002;69591002;69591002;69591002;69591002;69591911;69591885;69591911;69591911;69591911;69591911;69591911;69591911;69591911;69591911;69591911;69591911;69591911;69591911;69593028;69593028;69592954;69593028;69593028;69593028;69593028;69593028;69593028;69593028;69593028;69593028;69593028;69593806;69593806;69593806;69593806;69593806;69593806;69593806;69593806;69593806;69593806;69593806;69593806;69594332;69594332;69594332;69594332;69594332;69594332;69594332;69594332;69594332;69594332;69594332;69594332;69594723;69594717;69594717;69594717;69594723;69594723;69594723;69594723;69594723;69596980;69596980;69596980;69596094;69596984;69596319;69596984;69596984;69596984	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	13031	20
ENSMUSG00000100572	17;17;17	69582357;69583121;69584055	69582901;69583190;69584203	-;-;-	764	1
ENSMUSG00000117323	17;17;17	69622989;69625687;69650568	69623022;69625910;69651708	+;+;+	1399	0
ENSMUSG00000117069	17;17	69689199;69690171	69689293;69691203	-;-	1128	2
ENSMUSG00000049672	17;17;17;17;17;17;17;17;17	69690045;69690314;69690835;69692416;69692416;69692416;69694307;69694307;69694307	69690264;69690415;69691220;69692499;69692499;69692499;69698194;69697745;69697745	+;+;+;+;+;+;+;+;+	4680	144
ENSMUSG00000096988	17;17;17	69723655;69731417;69746172	69725129;69731523;69746299	-;-;-	1710	0
ENSMUSG00000091636	17;17;17;17	69746321;69746829;69794149;69794149	69746536;69747152;69796226;69796228	+;+;+;+	2620	0
ENSMUSG00000117053	17;17	69780600;69782153	69780703;69782870	-;-	822	0
ENSMUSG00000117122	17	69861225	69861756	+	532	0
ENSMUSG00000117071	17	69877401	69878176	+	776	1
ENSMUSG00002076618	17	69901534	69901772	-	239	0
ENSMUSG00000117124	17;17	70073898;70082721	70076391;70083007	-;-	2781	0
ENSMUSG00000117233	17;17;17	70200755;70204120;70230825	70201917;70204240;70230990	-;-;-	1450	0
ENSMUSG00000117078	17	70232322	70232826	-	505	0
ENSMUSG00000024169	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	25235059;25235065;25235365;25235373;25237735;25237735;25237735;25237735;25239492;25239492;25239492;25244524;25244524;25244524;25244778;25244778;25244778;25244850;25247778;25247778;25247778;25250809;25251059;25251059;25251059;25251059;25252057;25252057;25252057;25252057;25252057;25252860;25252860;25252860;25252860;25252860;25254677;25254677;25254677;25254677;25255245;25255245;25255245;25255245;25255932;25255932;25255932;25255932;25264023;25264023;25264023;25264479;25264479;25264479;25264491;25264540;25267374;25267374;25267374;25267374;25267374;25269248;25269248;25269248;25270746;25270746;25270746;25274532;25274532;25274532;25274532;25274532;25305817;25305817;25305817;25305817;25305817;25306847;25306847;25306847;25306847;25306847;25307503;25307503;25307503;25307503;25307774;25307774;25307774;25307774;25308373;25308373;25308373;25308373;25309616;25309616;25309616;25309616;25309645;25309868;25309868;25309868;25309868;25311263;25311263;25311263;25311263;25311263;25311742;25311742;25311742;25311742;25311742;25312037;25312037;25312037;25312037;25313614;25313614;25313614;25317703;25317703	25235878;25235110;25235878;25235573;25237876;25237912;25237912;25237912;25239713;25239713;25239713;25244645;25244645;25244645;25244920;25244920;25244920;25244920;25247953;25247953;25247953;25251150;25251150;25251150;25251150;25251150;25252163;25252163;25252163;25252163;25252163;25253005;25253256;25253005;25253005;25253005;25254880;25254880;25254880;25254880;25255317;25255317;25255317;25255317;25255978;25256023;25256023;25256023;25264150;25264150;25264150;25264596;25264596;25264596;25264596;25264596;25267504;25267504;25267504;25267504;25267504;25269416;25269416;25269416;25270877;25270877;25270877;25274731;25274731;25274731;25274731;25274731;25305994;25305994;25305994;25305994;25305994;25306965;25307037;25307037;25307037;25307037;25307598;25307598;25307598;25307598;25307906;25307906;25307906;25307906;25308516;25308516;25308516;25308516;25309744;25309744;25309744;25309744;25310050;25310050;25310050;25310050;25310050;25311469;25311469;25311469;25311469;25311469;25311954;25311954;25311954;25311775;25311954;25312118;25312203;25312203;25312203;25313755;25313755;25315661;25318469;25318461	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8333	128
ENSMUSG00000023805	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	5991555;5991653;5991678;6025861;6025916;6026015;6026070;6026070;6026070;6036247;6036247;6036247;6036247;6038261;6040338;6040411;6040411;6040411;6040411;6040411;6040411;6040411;6046291;6047121;6047153;6047153;6047153;6047153;6047153;6047153;6047153;6047153;6047153;6053374;6053374;6053374;6053374;6053374;6053374;6053374;6053374;6053374;6053374;6055598;6055598;6055598;6055598;6055598;6055598;6055598;6055598;6055598;6055598;6057855;6057872;6057887;6058213;6058213;6058213;6058213;6058213;6058213;6058213;6058213;6058213;6058213;6058213;6058213;6058213;6058309;6060007;6060007;6060007;6060007;6060007;6060007;6060007;6060007;6060007;6060007;6060007;6060007;6060007;6060007;6060671;6060671;6060671;6060671;6060671;6060671;6060671;6060671;6060671;6060671;6060671;6060671;6060671;6060671;6060935;6060935;6060935;6060935;6060935;6060935;6060935;6060935;6060935;6060935;6060935;6060935;6060935;6063783;6063783;6063783;6063783;6063783;6063783;6063783;6063783;6063783;6063783;6063783;6063783;6063783;6063824;6066541;6066541;6066541;6066541;6066541;6066541;6066541;6066541;6066541;6066541;6066541;6066541;6066541;6067762;6067762;6067762;6067762;6067762;6067762;6067762;6067762;6067762;6067762;6067762;6067762;6067762;6067762;6069561;6069561;6069561;6069561;6069561;6069561;6069561;6069561;6069561;6069561;6069561;6069561;6069561;6072374;6072374;6072374;6072374;6072374;6072374;6072374;6072374;6072374;6072374;6072374;6072374;6073934;6073934;6073934;6073934;6073934;6073934;6073934;6073934;6073934;6073934;6073934;6073934;6075259;6075259;6075259;6075259;6075259;6075259;6075259;6075259;6075259;6075259;6075259;6075259;6075351;6076431;6076431;6076431;6076431;6076431;6076431;6076431;6076431;6076431;6076431;6076431;6076431;6076431;6076752;6076752;6076752;6076752;6076752;6076752;6076752;6076752;6076752;6076752;6076752;6076752;6077422;6077422;6077422;6077422;6077422;6077422;6077422;6077422;6077422;6077422;6077422;6077422;6078694;6078694;6078694;6078694;6078694;6078694;6078694;6078694;6078694;6078694;6078694;6078694;6079959;6079975;6079975;6079975;6082972;6082972;6082972;6082972;6082972;6082972;6082972;6082972;6082972;6082972;6082972;6082972;6084090;6084090;6084090;6084090;6084090;6084090;6084090;6084090;6084090;6084090;6084090;6085686;6085686;6085686;6085686;6085686;6085686;6085686;6085686;6085686;6085686;6085686;6086632;6087659;6087659;6087659;6087659;6087659;6087659;6087659;6087659;6087864;6094229;6094229	5991852;5991852;5991852;6026156;6026156;6026156;6026156;6026156;6026156;6036517;6036517;6036517;6036517;6038344;6040636;6040636;6040636;6040636;6040636;6040636;6040636;6040636;6046496;6047236;6047236;6047236;6047236;6047236;6047236;6047236;6047236;6047236;6047236;6053435;6053435;6053435;6053435;6053435;6053435;6053435;6053435;6053435;6053435;6055694;6055694;6055694;6055694;6055694;6055694;6055694;6055694;6055694;6055694;6058007;6058007;6058007;6058374;6058385;6058385;6058385;6058385;6058385;6058385;6058385;6058385;6058385;6058385;6058385;6058385;6058385;6060088;6060088;6060088;6060088;6060088;6060088;6060088;6060088;6060088;6060088;6060088;6060088;6060088;6060088;6060765;6060820;6060820;6060820;6060820;6060820;6060820;6060820;6060820;6060820;6060820;6060820;6060820;6060820;6061100;6061100;6061100;6061100;6061100;6061100;6061100;6061100;6061100;6061100;6061100;6061100;6061100;6063974;6063974;6063974;6063974;6063974;6063974;6063974;6063974;6063974;6063974;6063974;6063974;6063974;6063974;6066622;6066622;6066622;6066622;6066622;6066622;6066622;6066622;6066622;6066622;6066622;6066622;6066622;6067902;6067902;6067902;6067902;6067902;6067902;6067902;6067902;6067902;6067902;6067902;6067902;6067902;6067902;6069753;6069753;6069753;6070830;6069753;6069753;6069753;6069753;6069753;6069753;6069753;6069753;6069753;6072532;6072532;6072532;6072532;6072532;6072532;6072532;6072532;6072532;6072532;6072532;6072532;6074090;6074090;6074090;6074090;6074090;6074090;6074090;6074090;6074090;6074090;6074090;6074090;6075376;6075376;6075376;6075376;6075376;6075376;6075376;6075376;6075376;6075376;6075376;6075376;6075376;6076649;6076649;6076649;6076649;6076649;6076649;6076649;6076649;6076649;6076565;6076649;6076649;6076649;6076830;6076830;6076830;6076830;6076830;6076830;6076830;6076830;6076830;6076830;6076830;6076830;6077590;6077590;6077590;6077590;6077590;6077590;6077590;6077590;6077590;6077590;6077590;6077590;6078861;6078861;6078861;6078861;6078861;6078861;6078861;6078861;6078861;6078861;6078861;6078861;6080109;6080109;6080109;6080109;6083084;6083084;6083084;6083204;6083084;6083084;6083084;6083084;6083084;6083084;6083084;6083084;6084198;6084198;6084198;6084198;6084198;6084198;6084198;6084198;6084198;6084198;6084198;6085834;6085834;6085834;6085834;6085834;6085834;6085834;6085834;6085834;6085834;6085834;6086780;6087737;6088681;6088603;6089616;6088830;6088830;6089665;6089443;6088648;6094565;6094565	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8342	41
ENSMUSG00000003279	17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17;17	70276068;70276241;70276363;70276363;70276368;70276397;70276416;70385257;70385257;70385257;70385257;70385257;70385257;70385257;70513232;70513232;70615042;70615042;70615042;70615042;70615042;70615042;70731789;70731791;70731791;70731791;70731791;70731791;70731791;70822949;70822949;70822949;70822949;70822949;70822949;70822949;70823017;70823643;70828672;70829050;70829072;70829109;70829131;70829131;70829157;70868547;70868547;70900162;70900162;70900162;70900162;70900162;70900162;70900162;70900162;70900162;70900162;70900162;70900162;70900162;70900162;70900162;70900162;70964449;70964449;70964449;70964449;70964449;70964449;70964449;70964449;70964449;70964449;70964449;70964449;70964449;70964449;70964449;70969564;70969564;70969564;70969564;70969564;70969564;70969564;70969564;70969564;70969564;70969564;70969564;70969564;70969564;70969564;71025191;71025191;71025191;71025191;71025191;71025191;71025191;71068070;71068070;71068070;71068070;71068070;71068070;71068070;71068070;71068070;71068154;71068154;71068154;71072993;71072993;71072993;71072993;71072993;71072993;71072993;71072993;71072993;71072993;71072993;71072993;71093783;71093783;71093783;71093783;71093783;71093783;71093783;71093783;71093783;71093783;71093783;71093783;71116067;71116183;71116183;71116183;71116183;71116183;71116183;71116183;71116183;71116183;71116183;71116183;71122189;71122189;71122189;71122189;71122189;71122189;71122189;71122189;71122189;71122189;71122189;71122189;71125020;71125020;71125020;71125020;71125020;71125020;71125020;71125020;71125020	70276665;70276665;70276665;70276665;70276665;70276665;70276665;70385418;70385418;70385418;70385418;70388014;70385418;70385418;70513340;70513340;70615165;70615165;70615165;70615165;70615165;70615165;70731883;70731883;70731883;70731883;70731883;70731883;70731883;70823991;70823991;70823991;70825801;70823991;70823991;70823991;70823991;70823991;70828795;70829263;70829257;70829263;70829257;70829263;70829257;70868866;70868866;70900376;70900376;70900376;70900376;70902740;70900376;70900376;70900376;70900376;70900376;70901403;70900376;70900376;70900376;70900376;70900376;70964626;70964626;70964626;70964626;70964626;70964626;70964626;70964626;70964626;70964626;70964626;70964626;70964626;70964626;70964626;70969804;70969804;70969804;70969804;70969677;70969804;70969804;70969804;70969804;70969804;70969804;70970084;70969804;70969804;70969804;71026406;71025220;71025220;71025220;71025220;71025220;71025220;71068440;71068440;71068440;71068440;71068440;71068440;71068440;71068440;71068440;71068440;71068440;71068440;71073084;71073084;71073084;71073084;71073084;71073084;71073084;71073084;71073084;71073084;71073084;71073084;71094204;71094204;71094204;71094387;71094204;71094204;71094204;71094204;71094204;71094204;71094204;71094204;71116274;71116274;71116274;71116274;71116274;71116274;71116274;71116274;71116274;71116274;71116274;71116274;71123088;71122341;71122341;71122341;71122341;71122341;71122341;71123724;71122341;71123718;71122341;71122341;71126396;71125297;71128404;71125540;71125229;71125229;71126799;71126719;71128408	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	17890	29
ENSMUSG00000097282	17;17;17	71052324;71058320;71062063	71053514;71059094;71062577	-;-;-	2481	0
ENSMUSG00000117231	17;17;17;17;17;17;17;17	71072834;71082134;71105621;71106982;71112007;71112007;71112874;71112874	71073288;71082269;71108459;71108459;71112143;71112143;71113054;71112992	-;-;-;-;-;-;-;-	3748	0
